SSE,Sparsity
4.16E+01,2.88E+04
7.00E+01,2.88E+04
3.61E+01,2.88E+04
5.03E+01,2.88E+04
4.47E+01,2.88E+04
4.45E+01,2.88E+04
4.94E+01,2.88E+04
4.91E+01,2.88E+04
2.11E+02,2.88E+04
1.26E+02,2.88E+04
6.31E+01,2.88E+04
8.21E+01,2.88E+04
9.40E+01,2.88E+04
1.05E+02,2.88E+04
7.79E+01,2.88E+04
8.13E+01,2.88E+04
1.03E+02,2.88E+04
2.04E+01,2.88E+04
2.24E+01,2.88E+04
1.13E+02,2.88E+04
5.54E+01,2.88E+04
7.95E+01,2.88E+04
7.87E+01,2.88E+04
5.13E+01,2.88E+04
1.06E+02,2.88E+04
3.79E+01,2.88E+04
5.49E+01,2.88E+04
7.34E+01,2.88E+04
5.21E+01,2.88E+04
8.62E+01,2.88E+04
6.10E+01,2.88E+04
1.17E+02,2.88E+04
9.03E+01,2.88E+04
1.27E+02,2.88E+04
1.60E+02,2.88E+04
1.46E+02,2.88E+04
1.60E+02,2.88E+04
1.12E+02,2.88E+04
3.03E+01,2.88E+04
9.82E+01,2.88E+04
1.18E+02,2.88E+04
2.17E+02,2.88E+04
2.45E+02,2.88E+04
1.27E+02,2.88E+04
5.88E+01,2.88E+04
6.08E+01,2.88E+04
6.04E+00,2.88E+04
3.47E+00,2.88E+04
7.94E+01,2.88E+04
6.14E+01,2.88E+04
9.19E+01,2.88E+04
7.66E+01,2.88E+04
8.96E+01,2.88E+04
9.49E+01,2.88E+04
5.97E+01,2.88E+04
1.24E+02,2.88E+04
6.29E+01,2.88E+04
9.01E+01,2.88E+04
1.13E+02,2.88E+04
9.74E+01,2.88E+04
1.11E+02,2.88E+04
7.06E+01,2.88E+04
1.92E+02,2.88E+04
2.45E+02,2.88E+04
1.97E+02,2.88E+04
3.32E+02,2.88E+04
2.52E+02,2.88E+04
1.93E+02,2.88E+04
2.20E+02,2.88E+04
2.67E+02,2.88E+04
3.87E+02,2.88E+04
4.75E+02,2.88E+04
4.69E+02,2.88E+04
2.78E+02,2.88E+04
2.16E+02,2.88E+04
1.89E+02,2.88E+04
1.69E+02,2.88E+04
3.27E+02,2.88E+04
3.06E+02,2.88E+04
2.72E+02,2.88E+04
1.94E+02,2.88E+04
2.03E+02,2.88E+04
2.79E+02,2.88E+04
1.96E+02,2.88E+04
2.25E+02,2.88E+04
1.58E+02,2.88E+04
1.17E+01,2.88E+04
2.92E+01,2.88E+04
4.06E+01,2.88E+04
3.57E+01,2.88E+04
3.45E+02,2.88E+04
4.84E+02,2.88E+04
3.78E+01,2.88E+04
4.18E+01,2.88E+04
7.84E+01,2.88E+04
3.18E+02,2.88E+04
9.93E+01,2.88E+04
5.25E+02,2.88E+04
4.37E+02,2.88E+04
2.83E+02,2.88E+04
5.92E+00,2.88E+04
3.55E+00,2.88E+04
1.13E+02,2.88E+04
7.41E+01,2.88E+04
1.06E+02,2.88E+04
5.68E+01,2.88E+04
8.21E+01,2.88E+04
9.53E+01,2.88E+04
1.41E+02,2.88E+04
2.01E+02,2.88E+04
1.67E+02,2.88E+04
9.56E+01,2.88E+04
2.44E+02,2.88E+04
2.45E+02,2.88E+04
1.86E+02,2.88E+04
2.07E+02,2.88E+04
2.96E+02,2.88E+04
2.06E+02,2.88E+04
1.53E+02,2.88E+04
1.11E+02,2.88E+04
1.16E+02,2.88E+04
1.53E+02,2.88E+04
1.62E+02,2.88E+04
2.38E+02,2.88E+04
1.52E+02,2.88E+04
1.66E+02,2.88E+04
2.41E+02,2.88E+04
2.28E+02,2.88E+04
1.85E+02,2.88E+04
2.00E+02,2.88E+04
1.77E+02,2.88E+04
2.09E+02,2.88E+04
1.82E+02,2.88E+04
1.23E+02,2.88E+04
1.53E+02,2.88E+04
1.81E+02,2.88E+04
1.20E+02,2.88E+04
1.14E+02,2.88E+04
5.36E+01,2.88E+04
5.19E+01,2.88E+04
4.40E+01,2.88E+04
2.20E+02,2.88E+04
2.21E+02,2.88E+04
1.93E+02,2.88E+04
1.74E+02,2.88E+04
1.99E+02,2.88E+04
1.68E+02,2.88E+04
1.20E+02,2.88E+04
7.67E+01,2.88E+04
6.67E+01,2.88E+04
4.28E+01,2.88E+04
3.91E+01,2.88E+04
2.50E+01,2.88E+04
2.30E+01,2.88E+04
8.33E+00,2.88E+04
1.84E+01,2.88E+04
1.33E+01,2.88E+04
1.02E+01,2.88E+04
3.35E+00,2.88E+04
6.40E+00,2.88E+04
1.11E+01,2.88E+04
3.77E+00,2.88E+04
4.65E+01,2.88E+04
1.53E+01,2.88E+04
1.36E+01,2.88E+04
5.88E+00,2.88E+04
3.14E+00,2.88E+04
2.14E+01,2.88E+04
0.00E+00,0.00E+00
0.00E+00,0.00E+00
0.00E+00,0.00E+00
0.00E+00,0.00E+00
